Name of the States,National Highways,State Highways,District Roads,Rural Roads,Urban roads,Project Roads,Total road Length,Total Area,  Urban Road density,  Rural Road density,Entire State Road length per 1000 sq km,Urban Road lngth per 1000 sq km,Rural Road lngth per 1000 sq km,Road Density ,Road Density per 1000 Sq. Km - National Highways,Road Density per 1000 Sq. Km - State Highways,Road Density per 1000 Sq. Km - District Roads,Road Density per 1000 Sq. Km - Rural Roads,Road Density per 1000 Sq. Km - Urban roads,Road Density per 1000 Sq. Km - Project Roads,Area,Rural Area (2011 census),Urban Area (2011 census),Rural Pop (2011 census),Urban Pop (2011 census),Total  Population
 Andhra Pradesh(*),10709,15649,58083,180833,22724,28907,316906,275045,2893.1,676.8,1152,0.81,3.21,1152.2,38.9,56.9,211,657.47,82.62,105.1,275045,267191,7855,56361702,28219075,84580777
 Arunachal Pradesh,2537,13500,8616,25832,59,4717,55262,83743,,,660,0.19,24.22,659.9,30.3,161.2,103,308.47,0.71,56.33,83743,,,1066358,317369,1383727
 Assam,3909,2530,6093,372510,6268,7813,399122,78438,4974.7,4826.6,5088,1.42,13.9,5088.38,49.8,32.3,78,4749.11,79.9,99.6,78438,77178,1260,26807034,4398542,31205576
 Bihar,5358,4006,12797,259507,14308,2230,298205,94163,6154.9,2825.7,3167,1.22,2.81,3166.91,56.9,42.5,136,2755.93,151.95,23.68,94163,91838,2325,92341436,11758016,104099452
 Chhattisgarh,3606,4176,12221,56575,12824,15672,105074,135192,3943.8,428.8,777,2.16,2.89,777.22,26.7,30.9,90,418.48,94.86,115.92,135192,131940,3252,19607961,5937237,25545198
 Goa ,293,279,824,16054,912,334,18697,3702,1192.7,5465.9,5051,1.01,29.1,5050.61,79.1,75.5,223,4336.69,246.4,90.29,3702,2937,765,551731,906814,1458545
 Gujarat,6635,16746,31262,132467,30920,31343,249373,196244,4175.3,701.5,1271,1.2,3.82,1270.73,33.8,85.3,159,675.01,157.56,159.71,196244,188839,7405,34694609,25745083,60439692
 Haryana,3166,1602,22051,7027,14853,1594,50292,44212,7516.3,166.4,1138,1.68,0.43,1137.53,71.6,36.2,499,158.93,335.95,36.06,44212,42236,1976,16509359,8842103,25351462
 Himachal Pradesh,2607,827,4277,53033,4706,7781,73230,55673,17376.1,957.2,1315,6.83,8.59,1315.37,46.8,14.9,77,952.57,84.53,139.77,55673,55402,271,6176050,688552,6864602
 Jammu & Kashmir,2423,310,19695,75684,2096,19826,120034,222236,1682.1,342.5,540,0.61,8.31,540.12,10.9,1.4,89,340.56,9.43,89.21,222236,220990,1246,9108060,3433242,12541302
 Jharkhand,3367,1232,10969,44317,7433,13928,81245,79716,3066.3,573.4,1019,0.94,1.77,1019.18,42.2,15.5,138,555.93,93.24,174.73,79716,77292,2424,25055073,7933061,32988134
 Karnataka,7335,19473,49555,220130,41396,20413,358300,191791,6882.7,1184.9,1868,1.75,5.87,1868.18,38.2,101.5,258,1147.76,215.84,106.43,191791,185777,6014,37469335,23625962,61095297
 Kerala,1782,4342,27470,188517,28785,9036,259932,38852,3788.1,6031.9,6690,1.81,10.79,6690.3,45.9,111.7,707,4852.19,740.89,232.56,38852,31253,7599,17471135,15934926,33406061
 Madhya Pradesh,8772,11389,50714,232344,31343,30484,365045,308252,4046.1,773.2,1184,1.56,4.42,1184.24,28.5,36.9,165,753.75,101.68,98.89,308252,300506,7746,52557404,20069405,72626809
 Maharashtra,17757,32005,108419,426327,30386,21993,636887,307713,3341.5,1427.7,2070,0.6,6.93,2069.74,57.7,104,352,1385.47,98.75,71.47,307713,298619,9094,61556074,50818259,112374333
 Manipur ,1750,781,3095,25339,126,1298,32389,22327,700.2,1144.1,1451,0.15,12.53,1450.66,78.4,35,139,1134.9,5.63,58.13,22327,22148,180,2021640,834154,2855794
 Meghalaya,1156,768,4624,32537,571,603,40258,22429,2018.8,1469.2,1795,0.96,13.72,1794.91,51.5,34.2,206,1450.66,25.46,26.86,22429,22146,283,2371439,595450,2966889
 Mizoram,1423,170,1714,11849,11,1082,16250,21081,18.8,578.2,771,0.02,22.55,770.82,67.5,8.1,81,562.09,0.52,51.34,21081,20494,587,525435,571771,1097206
 Nagaland,1548,650,5129,28039,1471,1035,37871,16579,6039.9,1716.4,2284,2.58,19.92,2284.29,93.4,39.2,309,1691.21,88.7,62.44,16579,16336,243,1407536,570966,1978502
 Odisha,5762,4143,21647,226922,21425,25733,305631,155707,6392.3,1489.4,1963,3.06,6.49,1962.86,37,26.6,139,1457.36,137.6,165.27,155707,152355,3352,34970562,7003656,41974218
 Punjab,3274,1133,6808,104565,18887,13195,147862,50362,7510.9,2185.4,2936,1.82,6.03,2935.98,65,22.5,135,2076.26,375.02,262,50362,47847,2515,17344192,10399146,27743338
 Rajasthan,10342,15061,24448,220402,32772,10444,313469,342239,4940.7,656.7,916,1.92,4.28,915.94,30.2,44,71,644,95.76,30.52,342239,335606,6633,51500352,17048085,68548437
 Sikkim,463,663,1469,8550,156,881,12182,7096,4084.2,1211.5,1717,1.02,18.71,1716.72,65.2,93.4,207,1204.95,22.02,124.1,7096,7058,38,456999,153578,610577
 Tamil Nadu,6742,11169,48236,170246,24693,10052,271137,130060,1810.9,1462.3,2085,0.71,4.57,2084.71,51.8,85.9,371,1308.98,189.86,77.29,130060,116424,13636,37229590,34917440,72147030
 Tripura,854,1057,461,40236,1073,1439,45120,10486,2739,3986.1,4303,1.12,14.83,4302.87,81.4,100.8,44,3837.12,102.36,137.2,10486,10094,392,2712464,961453,3673917
 Uttar Pradesh,11737,7427,55816,255576,70178,42173,442907,240928,9280,1095.2,1838,1.58,1.65,1838.34,48.7,30.8,232,1060.8,291.28,175.04,240928,233366,7562,155317278,44495063,199812341
 Uttarakhand,2949,4517,4828,44805,6360,5268,68727,53483,7051.7,852.1,1285,2.09,6.37,1285.03,55.1,84.5,90,837.75,118.92,98.5,53483,52581,902,7036954,3049338,10086292
 West Bengal,3664,3612,10449,157497,95065,13576,283865,88752,18547.2,1883.3,3198,3.27,2.53,3198.4,41.3,40.7,118,1774.58,1071.13,152.97,88752,83626,5126,62183113,29093002,91276115
 A.& N.Islands ,331,257,180,610,214,218,1809,8249,5650.1,74.2,219,1.49,2.57,219.29,40.1,31.1,22,73.9,25.97,26.41,8249,8211,38,237093,143488,380581
 Chandigarh ,15,9,83,0,2466,0,2573,114,22509.8,0,22567,2.4,0,22567.24,134,78,728,0,21627.19,0,114,4,110,28991,1026459,1055450
 D.& N.Haveli ,31,30,190,798,84,0,1133,491,1834.5,1792,2307,0.52,4.36,2307.2,63.1,60.7,387,1625.17,170.74,0,491,445,46,183114,160595,343709
 Daman & Diu ,22,22,59,116,54,1,274,111,1112.9,1863,2468,0.3,1.93,2467.57,198.2,198.2,527,1048.65,486.49,9.01,111,62,49,60396,182851,243247
 Delhi ,157,0,100,0,15862,52,16170,1483,13714.6,0,10904,0.97,0,10903.86,105.9,0,67,0,10695.69,35.06,1483,326,1157,419042,16368899,16787941
 Lakshadweep ,0,0,0,228,4,0,232,30,206.4,24827.7,7732,0.09,16.1,7732.33,0,0,0,7589,143.33,0,30,9,21,14141,50332,64473
 Puducherry ,27,0,397,2755,1071,44,4294,490,6930.1,8213.9,8763,1.26,6.97,8763.03,54.8,0,809,5623.03,2185.97,89.83,490,335,155,395200,852753,1247953
INDIA (1) ++        ,132499,179535,612778,3622228,541554,343163,5431757,3287469,5296.3,1167.9,1652,1.44,4.34,1652.26,40.3,54.6,186,1101.83,164.73,104.39,3287469,3101474,102252,833748852,377106125,1210854977
